,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Verolami,St. Albans,St. Albans,St. Albans,22,-1,UK
1,Durocobrius,Dunstable,Dunstable,Dunstable,13,-1,UK
2,Magiovinio,Dropshort,Dropshort,Dropshort,12,0,UK
3,Lactodoro,Towcester,Towcester,Towcester,16,0,UK
4,Isannavantia,Whilton Lodge,Whilton Lodge,Whilton Lodge,12,0,UK
5,Tripontio,Cave's Inn,Cave's Inn,Cave's Inn,11,0,UK
6,Venonis,High Cross,High Cross,High Cross,8,1,UK
7,Ratas,Leicester,Leicester,Leicester,12,0,UK
8,Verometo,Willoughby,Willoughby,Willoughby,14,-1,UK
9,Margiduno,Castle Hill,Castle Hill,Castle Hill,12,0,UK
10,Ad Pontem,East Stoke,East Stoke,East Stoke,7,0,UK
11,Crococalana,Brough,Brough,Brough,8,-1,UK
12,Lindo,Lincoln,Lincoln,Lincoln,13,-1,UK